"tract","Name","Household_Income_rP_gF_pall"
51760050600,"Near West End, Richmond, VA",104167
36059302101,"Roslyn, NY",103368
36059406400,"Garden City, NY",99660
6037262301,"Los Angeles, CA",99044
36059518204,"Woodbury, NY",96850
48201430300,"Hunter Creek Village, Houston, TX",96805
6081611400,"West Atherton, Atherton, CA",96477
17031802200,"Glenview, IL",94986
36119013201,"Briarcliff Manor, NY",94903
36059406501,"Garden City, NY",94877
19013002303,"Cedar Falls, IA",94546
36047004400,"Kings County, NY",94111
27053023903,"Edina, MN",94058
36061012800,"Lenox Hill, New York, NY",93828
36059517801,"Locust Valley, NY",93748
48201411400,"River Oaks, Houston, TX",93583
6081605600,"Country Club Manor, Hillsborough, CA",92696
26163550600,"Grosse Pointe Farms, MI",92271
51087200108,"Henrico, VA",92215
36059415202,"Merrick, NY",92157
13133950301,"Greensboro, GA",91694
36059301700,"Manhasset, NY",91520
36059517705,"Glen Head, NY",91501
8005005636,"Greenwood Village, CO",91435
17097864601,"Lake Forest, IL",91189
36059411500,"Hewlett, NY",91105
36047061200,"Kings County, NY",90736
37119002800,"Eastover, Charlotte, NC",90406
34025809703,"Marlboro Township, NJ",90226
36059519704,"Plainview, NY",90189
34003047300,"Ridgewood, NJ",90117
34039037900,"Summit, NJ",90066
12071040118,"The Club at Grandezza, Estero, FL",89786
36119008401,"Harrison, NY",89682
36119005400,"Pelham, Village of Pelham, NY",89654
25021401100,"Brookline, MA",89641
34021004502,"Princeton, NJ",89529
24005403803,"Pikesville, MD",89522
48085030509,"Hillcrest Meadows, Frisco, TX",89500
9001030100,"Darien, CT",89392
20091053421,"Forest Glen, Overland Park, KS",89321
36059518203,"Woodbury, NY",89184
25017357100,"Belmont, MA",89178
36047045800,"Kings County, NY",89078
42091201203,"Spring House, PA",88843
36059405800,"Garden City, NY",88736
36119012304,"Armonk, NY",88733
36059302501,"Roslyn Heights, NY",88697
26161400300,"Burns Park, Ann Arbor, MI",88646
12099007617,"Boca Raton, FL",88626
36119009800,"Scarsdale, NY",88624
6081605700,"Hillsborough Park, Hillsborough, CA",88511
36081092200,"Queens County, NY",88482
34027043303,"Morristown, NJ",88479
24031704700,"Bethesda, MD",88426
