"tract","Name","Individual_Income_Excluding_Spouse_rP_gF_pall"
51760050600,"Near West End, Richmond, VA",56492
17031070200,"Lincoln Park, Chicago, IL",56129
36061012800,"Lenox Hill, New York, NY",55033
6037262301,"Los Angeles, CA",52868
25021404201,"Wellesley, MA",52722
36119005400,"Pelham, Village of Pelham, NY",52575
6075030600,"Forest Hill Extension, San Francisco, CA",52508
25021401100,"Brookline, MA",52303
25017357400,"Belmont, MA",52081
36059302101,"Roslyn, NY",51219
36061000900,"Lower Manhattan, New York, NY",51055
48085030509,"Hillcrest Meadows, Frisco, TX",51011
36081133900,"Queens County, NY",50863
6037265420,"Westwood, Los Angeles, CA",50795
9001020400,"North Stamford, Stamford, CT",50632
36119013201,"Briarcliff Manor, NY",50461
6041123000,"Belvedere Tiburon, Belvedere, CA",50422
12086007503,"Riviera, Coral Gables, FL",50374
6075012602,"Marina District, San Francisco, CA",50363
6081605600,"Country Club Manor, Hillsborough, CA",50094
25025010701,"Back Bay West, Boston, MA",49971
12099000407,"Jupiter, FL",49919
36061003300,"Lower Manhattan, New York, NY",49867
36005029301,"Bronx County, NY",49840
36119009900,"Scarsdale, NY",49773
6085507002,"Los Gatos, CA",49732
6037108202,"Northridge, Los Angeles, CA",49727
36059517801,"Locust Valley, NY",49712
34003015100,"Englewood, NJ",49695
24031704700,"Bethesda, MD",49643
48201411400,"River Oaks, Houston, TX",49519
9001060900,"Fairfield, CT",49466
24031705200,"Chevy Chase, MD",49451
25017367200,"Weston, MA",49426
24005403802,"Pikesville, MD",49414
36059517705,"Glen Head, NY",49391
36087010802,"New City, NY",49342
36059519702,"Plainview, NY",49212
9003497200,"West Hartford, CT",48970
36059302102,"Roslyn Heights, NY",48947
13133950301,"Greensboro, GA",48923
36119009800,"Scarsdale, NY",48880
36119010701,"Scarsdale, NY",48842
34003035200,"Woodcliff Lake, NJ",48833
34027044200,"Morristown, NJ",48819
36119013103,"Millwood, NY",48805
36119010000,"Scarsdale, NY",48615
36059406501,"Garden City, NY",48596
12099007834,"Palm Beach Gardens, FL",48589
6037265100,"Westwood, Los Angeles, CA",48588
36103112212,"Dix Hills, NY",48557
6085507500,"Saratoga, CA",48529
6075047902,"Outer Richmond, San Francisco, CA",48486
6001443200,"Vineyards - Avalon, Fremont, CA",48478
42091204900,"Villanova, PA",48470
25021416102,"Milton, MA",48448
36081114100,"Queens County, NY",48417
36059518600,"Jericho, NY",48406
11001004100,"Northwest Washington, Washington, DC",48392
51059470100,"McLean, VA",48384
6081611400,"West Atherton, Atherton, CA",48318
25017354100,"West Cambridge, Cambridge, MA",48177
27053023903,"Edina, MN",48176
25021412200,"Westwood, MA",48164
25021404400,"Wellesley, MA",48164
36059518204,"Woodbury, NY",48145
36059302900,"North New Hyde Park, NY",48053
36059303201,"Garden City Park, NY",48046
42101001202,"Center City, Philadelphia, PA",48014
24031704502,"Bethesda, MD",47983
11001001301,"Northwest Washington, Washington, DC",47978
25017357100,"Belmont, MA",47917
36119004700,"Bronxville, NY",47911
42091205502,"Wynnewood, PA",47880
6013352101,"Rheem Valley Manor, Moraga, CA",47858
6037403405,"Valle Lindo, Walnut, CA",47853
34039037900,"Summit, NJ",47816
24031705400,"Chevy Chase, MD",47782
6075013101,"Pacific Heights, San Francisco, CA",47747
12086000131,"Aventura, FL",47698
6075013300,"Presidio Heights, San Francisco, CA",47689
39035196300,"Moreland Hills, OH",47613
6037139702,"Encino, Los Angeles, CA",47578
6075033100,"Lakeshore, San Francisco, CA",47502
37119002701,"Myers Park, Charlotte, NC",47488
36081150702,"Queens County, NY",47451
36059406400,"Garden City, NY",47449
48201430300,"Hunter Creek Village, Houston, TX",47408
34035052204,"Warren, NJ",47405
34021004502,"Princeton, NJ",47389
36059412500,"Rockville Centre, NY",47383
51013101601,"North Highland, Arlington, VA",47381
6081605700,"Hillsborough Park, Hillsborough, CA",47359
9001060400,"Fairfield, CT",47338
9001020700,"Newfield - Westover - Turn of River, Stamford, CT",47308
31055006704,"Central Omaha, Omaha, NE",47304
36081099705,"Queens County, NY",47291
9001035200,"New Canaan, CT",47291
36059300900,"Manhasset, NY",47282
25021404301,"Wellesley, MA",47234
36059300500,"Great Neck, NY",47216
6013355116,"San Ramon, CA",47216
25017373700,"Newton Centre, Newton, MA",47210
36059411500,"Hewlett, NY",47197
36119009701,"White Plains, NY",47192
6001426200,"Piedmont, CA",47189
42091201203,"Spring House, PA",47184
6085511702,"Country Club, Los Altos, CA",47155
36059301900,"Manhasset, NY",47154
24031704100,"Kensington, MD",47131
42101020600,"East Falls, Philadelphia, PA",47130
6085511701,"Los Altos Hills, CA",47123
36061015801,"Upper East Side, New York, NY",47112
27053105500,"Calhoun Isles, Minneapolis, MN",47106
36081074900,"Queens County, NY",47090
36059518501,"Jericho, NY",47086
24031701205,"Rockville, MD",47063
34027043200,"Madison, NJ",47055
6037194101,"Central LA, Los Angeles, CA",47048
34021004304,"West Windsor Township, NJ",47029
17031802200,"Glenview, IL",46986
6075013200,"Pacific Heights, San Francisco, CA",46970
36081099703,"Queens County, NY",46947
24031704804,"Bethesda, MD",46940
6001443105,"Cameron Hills, Fremont, CA",46933
9009165200,"Hamden, CT",46906
8005005636,"Greenwood Village, CO",46906
36119008401,"Harrison, NY",46905
36059300100,"Kings Point, NY",46886
36119012101,"Pleasantville, NY",46881
34013016200,"Upper Montclair, Montclair, NJ",46855
36047070201,"Kings County, NY",46854
36059412700,"Rockville Centre, NY",46835
34025809701,"Marlboro Township, NJ",46835
42091205100,"Bryn Mawr, PA",46809
36119011102,"Ardsley, NY",46804
36047004400,"Kings County, NY",46775
36081069702,"Queens County, NY",46772
24031705300,"Chevy Chase, MD",46750
42045409904,"Newtown Square, PA",46699
48201420800,"Southwest Houston, Houston, TX",46691
36029006302,"Albright, Buffalo, NY",46691
9001020200,"North Stamford, Stamford, CT",46690
51059481500,"Reston, VA",46681
25025000302,"Brighton, Boston, MA",46675
6085507401,"Golden Triangle, Saratoga, CA",46669
36059301700,"Manhasset, NY",46665
44007003602,"College Hill, Providence, RI",46553
6001440335,"Union City, CA",46542
36047000501,"Kings County, NY",46502
11001000801,"Northwest Washington, Washington, DC",46498
36119011800,"Briarcliff Manor, NY",46494
11001006600,"Capitol Hill, Washington, DC",46490
36059415202,"Merrick, NY",46457
25021401200,"Chestnut Hill, Brookline, MA",46447
6037139801,"Tarzana, Los Angeles, CA",46445
34039036200,"Clark, NJ",46391
25017338400,"Winchester, MA",46382
25017374000,"Oak Hill, Newton, MA",46358
34023008602,"Princeton Meadows, NJ",46347
6081608013,"Foster City, CA",46290
34023006604,"East Brunswick, NJ",46288
24031706013,"Bethesda, MD",46258
11001000901,"Northwest Washington, Washington, DC",46231
6037141500,"Encino, Los Angeles, CA",46222
36119005500,"Pelham, Pelham Manor, NY",46183
36059415201,"Merrick, NY",46161
36059518800,"Syosset, NY",46155
36005033500,"Bronx County, NY",46147
6013354002,"Orinda, CA",46143
36059302800,"North New Hyde Park, NY",46139
36087011200,"West Nyack, NY",46137
6001442000,"Kimber - Gomes, Fremont, CA",46134
9001045101,"Wilton, CT",46097
6001426100,"Piedmont, CA",46094
34013020100,"Essex County, NJ",46054
6001443103,"Fremont, CA",46054
6037700600,"Beverly Hills, CA",46032
