"tract","Name","Median_Rent_2012-16"
51059460100,"Vienna, VA",3501
6061020606,"Granite Bay, CA",3501
6085511913,"Almaden, San Jose, CA",3501
24031706005,"Rockville, MD",3501
36119009800,"Scarsdale, NY",3501
6059032044,"Coto de Caza, CA",3330
53033024100,"Clyde Hill, WA",2818
6037262100,"Bel Air, Los Angeles, CA",2794
13089021214,"Atlanta, GA",2686
48439113907,"Southlake, TX",2680
36081119100,"Queens County, NY",1703
53061052707,"Marysville, WA",1674
49049010216,"Lehi, UT",1476
6067009403,"Wilton, CA",1328
25017321200,"Marlborough, MA",1287
32031003306,"Incline Village, NV",1215
6059011101,"Fullerton, CA",1191
24005430600,"Relay, Halethorpe, MD",1175
27053109800,"Southwest Minneapolis, Minneapolis, MN",1161
6037208610,"Central LA, Los Angeles, CA",1134
34001013201,"Ventnor City, NJ",1104
27025110100,"Rush City, MN",1099
4025001702,"Sedona, AZ",1080
48113000401,"Dallas, TX",1078
27123042202,"Saint Paul, MN",1076
17031150700,"Portage Park, Chicago, IL",1029
26163582100,"Southgate, MI",1003
18089042902,"Cedar Lake, IN",913
42101035701,"Bustleton, Philadelphia, PA",888
18087970600,"Wolcottville, IN",877
34039039000,"Plainfield, NJ",827
17197884006,"Wilmington, IL",792
48303001300,"Slaton-Bean, Lubbock, TX",775
36015010500,"Horseheads, NY",773
47011011401,"Cleveland, TN",759
32003001804,"Las Vegas, NV",730
36007012000,"Lisle, NY",708
17117956800,"Wilsonville, IL",660
48215021500,"Pharr, TX",618
29510213900,,
15003009502,"Schofield Barracks, HI",2681
36119008401,"Harrison, NY",2130
12099007910,"West Palm Beach, FL",1955
36103147803,"Sayville, NY",1931
12086013200,"Hialeah, FL",1430
47037015627,"Antioch, Nashville, TN",1211
17031242900,"West Town, Chicago, IL",1183
6037402502,"Westmont, Pomona, CA",1073
51610451400,,
36061019701,"Upper Manhattan, New York, NY",3501
48439113910,"Keller, TX",2857
12086004605,"Key Biscayne, FL",2720
26125150700,"Bloomfield Hills, MI",2688
36103158319,"Coram, NY",2585
12069030913,"Mount Dora, FL",2581
6037920045,"Santa Clarita, CA",2576
6013321102,"Pleasant Hill, CA",2500
6111006600,"Thousand Oaks, CA",2381
48139060209,"Red Oak, TX",2172
34027040300,"Pompton Plains, Pequannock Township, NJ",2112
6083001208,"East Mesa, Santa Barbara, CA",2075
11001000100,"Georgetown, Washington, DC",2040
25023530902,"Plymouth, MA",2019
31055007441,"West Omaha, Omaha, NE",1948
6081608600,"Belmont, CA",1948
9001042900,"Norwalk, CT",1861
17031071700,"Lincoln Park, Chicago, IL",1794
8059009846,"Evergreen, CO",1781
24003740305,"Odenton, MD",1761
6071002705,"Rialto, CA",1752
36119008800,"White Plains, NY",1744
25017357100,"Belmont, MA",1721
10003016804,"Townsend, DE",1714
12086008418,"Miami, FL",1694
6085503312,"Alum Rock, San Jose, CA",1680
6059075603,"Tustin, CA",1677
6075015200,"Lower Pacific Heights, San Francisco, CA",1653
13117130306,"Cumming, GA",1653
36059408900,"Levittown, NY",1650
51685920100,"Manassas Park, VA",1626
51710006601,"Bel Aire/South Bay View, Norfolk, VA",1621
17031800400,"Winnetka, IL",1617
6037408401,"La Puente, CA",1595
53061052004,"Mill Creek, WA",1595
6059063201,"East Side Costa Mesa, Costa Mesa, CA",1571
6037270100,"Palms, Los Angeles, CA",1530
6073013301,"Chula Vista, CA",1477
6095252102,"Benicia, CA",1471
24033803300,"Hyattsville, MD",1457
36047005400,"Kings County, NY",1452
8035014005,"Parker, CO",1442
36119002403,"Southeast Yonkers, Yonkers, NY",1426
42017100408,"Levittown, PA",1405
51179010107,"Stafford, VA",1398
12011110338,"Pembroke Pines, FL",1396
36059300900,"Manhasset, NY",1347
25025160601,"Chelsea, MA",1347
32031001104,"Reno, NV",1315
32003003631,"North Las Vegas, NV",1291
53021020606,"Pasco, WA",1282
24033802001,"Suitland, Suitland-Silver Hill, MD",1265
17031805701,"Park Ridge, IL",1263
36087011301,"Nanuet, NY",1238
36085012804,"Richmond County, NY",1236
6001436602,"Jackson Triangle, Hayward, CA",1228
12086000707,"Hialeah, FL",1218
6065042728,"Romoland, Menifee, CA",1216
34019011900,"Lambertville, NJ",1209
22071007800,"Lower Garden District, New Orleans, LA",1205
34023007911,"Matawan, NJ",1179
25017383800,"Framingham, MA",1159
9003473800,"Windsor, CT",1147
4013810500,"Chandler, AZ",1142
36005039902,"Bronx County, NY",1141
53061053201,"Stanwood, WA",1133
53067012412,"Yelm, WA",1132
39153532706,"Northfield, OH",1131
36061022500,"Harlem, New York, NY",1127
48453001826,"North Austin, Austin, TX",1127
20055960401,"Garden City, KS",1125
26163558000,"Livonia, MI",1110
51041100505,"Chester, VA",1102
48121020203,"Sanger, TX",1096
37183054211,"Northhampton, Wake Forest, NC",1095
34029717400,"Jackson, NJ",1095
42079215300,"Bear Creek Village, PA",1085
13185010604,"Valdosta, GA",1082
22071012300,"Broadmoor, New Orleans, LA",1082
48381021609,"Amarillo, TX",1067
37025042501,"Concord, NC",1063
41005022707,"Wilsonville, OR",1062
53011040809,"Northeast Hazel Dell, Vancouver, WA",1057
12057000401,"Tampa, FL",1035
12011010307,"Deerfield Beach, FL",1031
42091210400,"Glenside, PA",1030
8001008309,"Norfolk Glen, Aurora, CO",1023
12127080804,"Ormond Beach, FL",1023
17031170700,"Belmont Heights, Chicago, IL",1021
12086009904,"Miami Gardens, FL",1021
26099218000,"New Haven, MI",1009
12071050400,"Bonita Springs, FL",1000
