"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
4013320002,"East Guadalupe, Guadalupe, AZ",0.9524
24510150100,"Sandtown-Winchester, Baltimore, MD",0.9448
4013941300,"Scottsdale, AZ",0.9424
4019940900,"Tucson, AZ",0.9417
48201210700,"Northside, Houston, TX",0.9397
4013114900,"Central City, Phoenix, AZ",0.9389
48201211000,"Northside, Houston, TX",0.9386
39035119100,"University Circle, Cleveland, OH",0.933
6037531102,"Los Angeles, CA",0.9324
26163521300,"Mexicantown - Southwest Detroit, Detroit, MI",0.9301
48201530300,"Independence Heights, Houston, TX",0.9298
24510200200,"Lexington, Baltimore, MD",0.9279
24510180100,"Poppleton, Baltimore, MD",0.9274
39061002300,"Mount Auburn, Cincinnati, OH",0.9272
24510120400,"Barclay, Baltimore, MD",0.925
42003561600,"Arlington, Pittsburgh, PA",0.9247
23019940000,"Old Town, ME",0.9243
48113001002,"Knox / Henderson, Dallas, TX",0.9237
42101003902,"South Philadelphia, Philadelphia, PA",0.9217
39061026300,"Cincinnati, OH",0.9211
24510150300,"Coppin Heights, Baltimore, MD",0.921
4013941000,"Maricopa County, AZ",0.9208
48201220100,"Eastex/ Jensen, Houston, TX",0.9208
24510180200,"Poppleton, Baltimore, MD",0.9207
6037980014,"Los Angeles County, CA",0.9206
42003120400,"Larimer, Pittsburgh, PA",0.9205
6065041410,"Corona, CA",0.9205
24510160200,"Sandtown-Winchester, Baltimore, MD",0.9204
48201231500,"East Little York/ Homestead, Houston, TX",0.92
48201220900,"Northeast Houston, Houston, TX",0.9197
4013115400,"South Mountain Village, Phoenix, AZ",0.9196
29095988300,"Kansas City, MO",0.9194
4013113602,"Central City, Phoenix, AZ",0.9193
21111001800,"California, Louisville, KY",0.9193
4013114600,"Estrella Village, Phoenix, AZ",0.9189
6037201503,"Northeast Los Angeles, Los Angeles, CA",0.9189
48201232000,"Houston, TX",0.9187
4013116602,"South Mountain Village, Phoenix, AZ",0.9185
24510080200,"Broadway East, Baltimore, MD",0.9185
6065045226,"Coachella, CA",0.9179
36029000500,"First Ward, Buffalo, NY",0.9178
8031003500,"North, Denver, CO",0.917
21111001400,"Park Duvalle, Louisville, KY",0.9168
4013116605,"Laveen Village, Phoenix, AZ",0.9168
36063940001,"Sanborn, NY",0.9167
6037531502,"East Los Angeles, CA",0.9167
4013115600,"Liberty, Phoenix, AZ",0.9155
48201230800,"Northside, Houston, TX",0.9153
4021941200,"Sacaton, AZ",0.9152
4013117200,"Central City, Phoenix, AZ",0.9152
6037407302,"La Puente, CA",0.9152
24510140200,"Upton, Baltimore, MD",0.9146
4013113900,"Central City, Phoenix, AZ",0.9146
17031340400,"Armour Square, Chicago, IL",0.9144
13121005502,"South Atlanta, Atlanta, GA",0.9144
24510200100,"Lexington, Baltimore, MD",0.9143
48113011500,"Piedmont Addition, Dallas, TX",0.9141
11001007404,"Douglass, Washington, DC",0.9136
39061001700,"Over-The-Rhine, Cincinnati, OH",0.9136
42129806200,"Smithton, PA",0.9133
24510170100,"Downtown, Baltimore, MD",0.9132
17031310200,"East Pilsen, Chicago, IL",0.9129
42101037600,"North Philadelphia, Philadelphia, PA",0.9128
13121008602,"Monroe Heights, Atlanta, GA",0.9127
48201223002,"High Meadows, Houston, TX",0.9125
21111000300,"Portland, Louisville, KY",0.9117
42101004202,"South Philadelphia, Philadelphia, PA",0.9116
48201313400,"Southeast Houston, Houston, TX",0.9116
48201211900,"Northeast Houston, Houston, TX",0.9115
48201230700,"Northside, Houston, TX",0.9112
24510130300,"Penn North, Baltimore, MD",0.9112
48201221000,"Eastex/ Jensen, Houston, TX",0.9112
42101037700,"North Philadelphia, Philadelphia, PA",0.9111
24510070200,"Madison - Eastend, Baltimore, MD",0.9109
11001007406,"Southeast Washington, Washington, DC",0.9109
32003005831,"Las Vegas, NV",0.9109
13121006100,"Bush Mountain, Atlanta, GA",0.9107
48201533300,"Acres Homes, Houston, TX",0.9107
48201332100,"South Side, Houston, TX",0.9106
17197881302,"Joliet, IL",0.9106
18097351200,"Indianapolis, IN",0.9105
18097351700,"Reagan Park, Indianapolis, IN",0.9105
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.9102
36047080800,"Kings County, NY",0.91
48201230900,"Northeast Houston, Houston, TX",0.9099
21111002700,"California, Louisville, KY",0.9098
48453000801,"East Austin, Austin, TX",0.9097
6037224310,"Central LA, Los Angeles, CA",0.9097
17031210501,"Avondale, Chicago, IL",0.9097
48201533400,"Heather Glen, Houston, TX",0.9096
34007605200,"Gloucester City, NJ",0.9095
6037207102,"Central LA, Los Angeles, CA",0.9095
48201212300,"Near Northside, Houston, TX",0.9094
6037535606,"South Gate, CA",0.9094
48201220200,"Northside, Houston, TX",0.9093
48113001204,"Dallas, TX",0.9091
51760020100,"East End, Richmond, VA",0.909
6037190402,"Central LA, Los Angeles, CA",0.9089
25017350103,"Ten Hills, Somerville, MA",0.9088
21111003000,"Russell, Louisville, KY",0.9085
13121004400,"Mechanicsville, Atlanta, GA",0.9085
11001004701,"Northwest Washington, Washington, DC",0.9083
48029160600,"Edgewood, San Antonio, TX",0.9083
24510080500,"Darley Park, Baltimore, MD",0.9083
48201311000,"Greater East End, Houston, TX",0.9082
18097352800,"Martindale-Brightwood, Indianapolis, IN",0.9081
42101015200,"Cecil B. Moore, Philadelphia, PA",0.9077
4013060801,"Surprise Original Townsite, Surprise, AZ",0.9077
