"tract","Name","Employment_Rate_rP_gP_pall"
34035053801,"Millstone, NJ",0.9806
56039967701,"Jackson, WY",0.9778
29095988300,"Kansas City, MO",0.9661
31091956700,"Mullen, NE",0.9629
48113014138,"Las Colinas, Irving, TX",0.9545
37119005615,"Charlotte, NC",0.9448
4013061021,"Dysart Ranch, Litchfield Park, AZ",0.9438
72069180302,"Humacao, PR",0.9403
35001004737,"Arrowwood Hills, Albuquerque, NM",0.9388
36005033400,"Bronx County, NY",0.9385
17031070103,"Lincoln Park, Chicago, IL",0.9356
22033002802,"Highlands/Perkins, Baton Rouge, LA",0.9341
23007970102,"Stratton, Eustis, ME",0.932
37031970303,"Beaufort, NC",0.9317
55139000700,"Oshkosh, WI",0.9315
21067003916,"Greenbrier Residents, Lexington, KY",0.9311
6013355116,"San Ramon, CA",0.9311
51059481102,"Oak Hill, VA",0.9289
8111972600,"Silverton, CO",0.9248
19017004000,"Waverly, IA",0.9237
34017018701,"Hoboken, NJ",0.9236
72037160100,"Ceiba, PR",0.9228
4021000319,"Apache Junction, AZ",0.9217
8049000100,"Kremmling, CO",0.9217
51700050305,,0.9209
15003006806,"Aliamanu - Salt Lakes - Foster Village, Honolulu, HI",0.9198
19191950500,"Calmar, IA",0.9197
8123002015,"Frederick, CO",0.9196
36037950900,"Batavia, NY",0.9194
27011950300,"Ortonville, MN",0.9188
31109003714,"Lincoln, NE",0.9186
12099007834,"Palm Beach Gardens, FL",0.9185
4021001711,"Maricopa, AZ",0.9181
29165030201,"Kansas City, MO",0.9175
10005051202,"Bethany Beach, DE",0.9172
30083070100,"Fairview, MT",0.9155
12103027209,"Dunedin, FL",0.913
55025011401,"Madison, WI",0.9129
31117957900,"Tryon, NE",0.9124
42029302803,"West Chester, PA",0.912
51107611010,"Leesburg, VA",0.9118
39011041000,"Minster, OH",0.9118
36103158322,"Mount Sinai, NY",0.9117
4013040516,"Festival Ranch, Buckeye, AZ",0.9117
27147960700,"Owatonna, MN",0.9117
46067968800,"Tripp, SD",0.9113
46059975700,"Miller, SD",0.9095
42003310300,"New Homestead, Munhall, PA",0.9094
51013103401,"Fort Myer, Arlington, VA",0.9092
9003492400,"Wethersfield, CT",0.9092
46115000200,"Redfield, SD",0.9092
27103480502,"North Mankato, MN",0.9091
38065961200,"Center, ND",0.9091
27109001501,"John Adams, Rochester, MN",0.9089
38077970900,"Wahpeton, ND",0.9089
41021960100,"Arlington, OR",0.9086
29095018200,"Lee's Summit, MO",0.9085
6063000501,"Chester, CA",0.9084
42129802103,"Murrysville, PA",0.9083
8107000200,"Hayden, CO",0.908
4021000604,"Tucson, AZ",0.9077
6085504417,"Milpitas, CA",0.9074
45019000600,"Charleston, SC",0.9072
19031450400,"Wilton, IA",0.9072
54049021400,"Fairmont, WV",0.907
55071005100,"Two Rivers, WI",0.9067
42045407806,"Springfield, PA",0.906
4013082027,"Roosevelt Park, Avondale, AZ",0.906
38099957800,"Minto, ND",0.9058
42003070600,"Shadyside, Pittsburgh, PA",0.9058
36041950300,"Indian Lake, NY",0.9054
38059020100,"Mandan, ND",0.9053
4012020100,"Salome, AZ",0.9044
42091200607,"Lansdale, PA",0.9041
31003979700,"Neligh, NE",0.9031
36023970800,"Cortland, NY",0.9031
27027030201,"Hawley, MN",0.9025
55069961000,"Merrill, WI",0.9022
8123002207,"Windsor, CO",0.9021
42003410000,"Bradford Woods, PA",0.9015
36061023802,"Roosevelt Island, New York, NY",0.9014
24027605505,"River Hill, Clarksville, MD",0.9005
34007608904,"Waterford Works, Waterford, NJ",0.9003
55027962000,"Watertown, WI",0.9003
37119005907,"Dixie - Berryhill, Charlotte, NC",0.9001
31067964700,"Beatrice, NE",0.8998
8001008548,"Thornton, CO",0.8998
51013102802,"Claremont, Arlington, VA",0.8997
36119014909,"Westchester County, NY",0.8993
27169670200,"Goodview, MN",0.8992
42079211702,"Wilkes-Barre, PA",0.8989
42079216501,"Sugarloaf, PA",0.8989
27107960300,"Ada, MN",0.8988
27053103900,"Marcy-Holmes, Minneapolis, MN",0.8984
19013002902,"La Porte City, IA",0.8983
19061010500,"Dyersville, IA",0.8983
25025040100,"Charlestown, Boston, MA",0.8979
